,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
2957,I. Kallon RW LW,27,73,58,61,1,261,60,285,70,65,14.22097566607244
2958,P. Mpanzu CM CDM,29,73,66,63,1,318,75,399,71,60,14.403297222866392
2959,J. Veltman RB CB,31,71,68,49,2,312,60,323,74,50,16.11809565095832
2960,M. Frey ST,28,63,61,73,1,335,79,411,70,72,14.690979295318174
2961,R. Quaison CF ST LM,29,72,65,70,1,313,72,360,73,69,14.28551418721001
2962,M. de Roon CDM CM CB,32,72,71,70,3,387,77,402,75,63,16.454567887579532
2963,H. Magnússon CB LB,30,60,68,50,1,264,67,354,60,45,15.068273526459642
2964,A. Duncan CM CDM,30,74,72,64,2,338,84,404,76,50,15.201804919084164
2965,Óscar Plano LM ST CAM,32,72,69,70,1,338,79,379,72,68,14.690979295318174
2966,S. Mané LM RM CF,31,87,79,83,4,353,85,397,86,85,17.84975119611667
2967,22 Q. Promes LW CAM CF,29,79,75,78,3,329,83,383,78,78,16.64872390202049
2968,23 J. Giraudon CB,30,58,58,36,1,263,54,315,64,29,14.077874822431765
2969,T. Haye CM CDM,28,72,77,64,1,325,72,330,71,55,14.648419680899378
2970,J. Brenet RB LB,29,73,67,53,1,330,46,303,73,60,15.123843377614453
2971,T. Pledl RM LM,29,71,62,55,1,294,64,287,68,56,13.652991628466498
2972,Ricardo Pereira RB RWB,29,77,77,66,3,372,72,345,79,64,16.556350581889475
2973,A. Brignoli GK,31,77,77,72,1,109,58,198,35,20,15.201804919084164
2974,D. Machís LM RM,30,82,72,76,2,327,82,365,79,75,16.11809565095832
2975,S. Al Dawsari LM,31,82,69,72,2,331,74,381,80,72,16.25785759333348
2976,K. Hause CB,27,58,58,44,1,277,66,326,63,35,14.603967918328545
2977,N. Gießelmann LWB LM,31,68,70,60,1,323,68,355,68,55,14.346138809026444
2978,M. Sanson CM CAM,28,76,77,73,2,364,79,377,77,71,15.830413578506539
2979,Rubén García LM RM CAM,29,78,79,76,2,317,76,322,79,77,16.454567887579532
2980,V. Lazaro RWB RM LM,27,74,73,69,2,346,69,340,73,68,14.73180128983843
2981,N. Tagliafico LB,30,75,70,56,3,340,65,356,76,57,16.300417207752275
2982,J. Irvine CM,30,69,70,68,1,351,73,389,74,67,15.201804919084164
2983,J. Gómez CM CAM,33,76,72,67,1,353,62,312,74,68,14.151982794585487
2984,G. Evans CDM CM CB,28,62,63,60,1,295,68,334,65,59,13.527828485512494
2985,Alex Muñoz CB LB,28,64,63,67,1,312,80,412,64,62,15.38412647587812
2986,F. Niederlechner CF ST,32,70,62,72,2,318,78,379,72,71,14.22097566607244
2987,O. Vlachodimos GK,29,84,66,77,1,133,50,245,23,12,16.883563493097892
2988,R. Khedira CDM CB,29,61,58,43,2,312,58,354,68,34,15.687312734865866
2989,M. Lowe LWB LB,26,73,63,46,1,309,62,309,73,41,14.845129975145433
2990,L. Marković LM RM RW,29,74,66,65,2,297,65,308,72,63,14.403297222866392
2991,D. Kohr CDM CM CB,29,71,62,63,2,335,77,393,74,58,15.687312734865866
2992,A. Djiku CB,28,67,66,43,2,318,61,345,69,34,16.11809565095832
2993,C. Njie RM ST,29,73,63,67,1,281,75,346,71,67,14.28551418721001
2994,Jo Hyeon Woo GK,31,77,62,71,1,128,47,175,18,18,14.603967918328545
2995,S. Kaikai LM RWB,27,65,59,59,1,262,65,290,61,57,13.122363377404328
2996,L. Augustinsson LB LM LWB,29,68,75,61,1,348,72,345,72,55,15.404745763080856
2997,Joel Pereira GK,27,63,64,62,1,123,48,205,20,12,13.17115354157376
2998,João Mário LM RM,30,83,81,79,3,377,78,363,86,82,17.19990082131005
2999,R. Healey ST,28,71,60,74,1,246,75,361,72,76,14.690979295318174
3000,20 K. Honda CAM CM,33,75,75,71,3,314,77,355,78,65,15.201804919084164
3001,C. Kouyaté CDM CM CB,33,67,63,64,2,338,74,373,71,63,14.845129975145433
3002,23 A. Dzyuba ST,33,68,68,77,2,340,79,375,74,80,15.687312734865866
3003,G. Bou ST LM,33,74,68,79,1,326,91,394,74,75,15.38412647587812
3004,M. Lanzini CAM CM,30,80,77,71,2,320,76,311,80,68,15.761420707019587
3005,J. Fleck CM CDM,31,73,73,69,1,344,78,353,73,65,14.22097566607244
3006,22 Rafael RB,29,77,73,60,2,363,72,368,76,53,15.687312734865866
3007,M. Silvestri GK,32,83,60,77,1,119,45,223,20,20,15.955576721460545
3008,P. Groß CM CDM RB,32,78,82,76,2,364,76,371,81,75,16.454567887579532
3009,E. Lamanna GK,33,68,60,64,1,110,45,190,24,19,12.524526376648708
3010,O. Elabdellaoui RB,31,72,67,54,1,314,68,346,72,42,14.346138809026444
3011,S. Al Faraj CM CDM CAM,33,72,78,66,1,351,74,300,74,63,13.997832114758229
3012,Ander Herrera CM CDM,33,78,78,71,3,393,76,365,80,68,16.213405830762646
3013,V. Berisha CM CAM CDM,30,73,72,65,2,343,70,353,72,61,14.22097566607244
3014,N. Otamendi CB,35,59,64,57,3,329,69,382,66,54,15.89495209964411
3015,Marcos Alonso LB CB,32,77,81,74,2,365,84,392,83,70,16.300417207752275
3016,M. Đurić ST,33,61,55,71,1,307,78,380,75,72,13.997832114758229
3017,M. Klich CM CDM CF,33,72,74,71,1,355,67,355,75,72,14.77102200299171
3018,20 A. Schürrle LW RW LM,28,78,72,78,3,335,82,366,78,75,16.012735135300492
3019,C. Trimmel RWB RM,36,68,74,65,2,347,75,383,71,61,14.346138809026444
3020,Aitor GK,32,80,68,74,1,128,51,222,14,12,15.424948470398375
3021,F. Bardi GK,31,74,65,71,1,97,49,209,12,10,13.997832114758229
3022,23 W. Grigg ST,30,64,48,65,1,263,66,340,63,64,13.262125319779487
