,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
0,M. Fellaini ST CAM CDM,35,68,69,71,3,374,76,386,77,71,14.077874822431765
1,M. van de Ven CB,22,69,60,43,1,290,48,344,73,37,17.312018119430753
2,Richarlison ST LW,26,82,72,79,3,362,83,396,82,81,17.14771506813948
3,R. Drăgușin CB,21,58,47,37,1,249,56,321,59,27,15.27412558066379
4,C. Uzun CF CAM ST,17,72,62,65,1,245,66,306,72,66,14.77102200299171
5,J. Branthwaite CB,21,55,49,34,1,236,51,307,64,30,16.300417207752275
6,L. Bergvall CM,17,69,65,52,1,292,51,281,70,53,14.28551418721001
7,K. Mainoo CDM CM,18,69,62,55,1,305,64,324,64,55,14.808762330974558
8,J. Bellingham CAM CM,20,86,81,82,4,404,79,407,86,86,18.59042351853946
9,Bryan Zaragoza RM LM,21,79,68,72,1,272,78,296,78,72,15.761420707019587
10,D. Udogie LB,20,78,72,64,1,343,71,371,78,64,17.312018119430753
11,Vitor Roque ST RW LW,18,80,59,78,1,255,80,377,77,79,16.67771143889374
12,K. Havertz CAM CM ST,24,83,79,79,3,327,76,382,85,81,17.64415195445337
13,D. Suárez RB RWB RM,35,73,72,70,1,358,83,378,74,64,14.978661367769956
14,J. Bellingham CM CAM ST,17,69,62,56,1,296,57,315,70,56,14.557447902693651
15,S. Azmoun ST CAM,28,77,71,75,2,318,77,379,80,75,16.489659207390805
16,W. Zaïre-Emery CM CDM,17,78,75,67,1,367,75,381,80,65,17.399029496420383
17,T. Kubo RW ST RM,22,83,76,76,3,289,73,349,84,81,17.541203985200926
18,J. Hato CB LB,17,71,66,39,1,294,53,304,74,36,15.687312734865866
19,S. Boey RB,22,77,66,55,1,341,70,400,76,44,17.16541464523888
20,R. Lewis RB CDM,18,77,73,46,1,323,55,278,80,44,16.34123920227253
21,M. Taremi ST CF,30,81,76,81,2,323,81,395,85,84,17.216707939626428
22,G. Vicario GK,26,87,79,81,2,145,59,227,44,6,17.565014633894645
23,C. Bradley RB RWB,19,66,60,50,1,304,50,304,65,53,14.978661367769956
24,A. Güler CAM CM,18,81,80,70,1,316,72,308,81,68,16.90655301132259
25,Vinícius ST,28,72,61,76,2,335,83,383,76,77,15.60727002719233
26,R. Højlund ST,20,74,58,76,1,322,82,403,75,78,17.054189010128656
27,António Silva CB,19,69,62,33,2,287,51,317,73,28,17.16541464523888
28,J. Zirkzee ST,22,80,66,77,1,284,76,378,82,78,16.34123920227253
29,T. Almada CAM CM CF,22,84,75,74,3,354,75,337,84,72,17.676240269004868
30,Arnau Martínez RB CB RWB,20,76,72,50,1,321,56,327,78,50,17.23323724157764
31,João Neves CM,18,75,71,59,1,336,71,288,77,53,15.761420707019587
32,Fresneda RWB RB,18,74,60,41,2,279,43,295,77,43,15.424948470398375
33,T. Baldanzi CAM CF,20,81,74,72,1,302,77,311,80,69,16.951004773893423
34,V. Barco LM LB LWB,18,77,73,47,1,347,44,273,75,42,15.761420707019587
35,M. Tel ST LM RM,18,77,64,77,1,277,84,354,77,78,16.11809565095832
36,X. Simons CAM LW RW,20,85,78,77,2,361,78,380,85,78,17.91815392300107
37,A. Vermeeren CDM CM,18,76,75,54,1,336,64,345,78,48,16.523560759066484
38,Alejandro Garnacho LW LM,19,77,67,71,1,304,77,322,74,72,16.41820024340866
39,S. Pafundi CAM CF,17,73,66,65,1,311,73,286,71,61,14.73180128983843
40,J. Álvarez ST CF CAM,23,84,78,83,2,366,86,402,85,83,17.529082624668582
41,V. Boniface ST,22,79,64,80,1,336,86,412,81,79,17.341871082580436
42,M. Greenwood RM ST LM,21,79,74,79,1,303,85,360,80,79,16.972510979114386
43,C. Alcaraz CAM CM ST,20,78,67,70,1,323,75,354,75,70,15.687312734865866
44,Gabri Veiga CM CAM,21,78,72,77,2,339,77,362,82,80,17.26549810379586
45,A. Jahanbakhsh RW,29,74,69,75,1,331,83,397,74,69,14.914122846632385
46,K. Kvaratskhelia LW RW,22,87,81,79,2,337,78,388,88,81,18.50685844019342
47,Lee Kang In LW ST CM,22,82,80,74,2,353,78,350,82,75,17.16541464523888
48,R. Bardghji RW,17,74,62,68,1,280,70,298,71,70,15.096444403426338
49,Y. Chermiti ST,19,68,55,69,1,280,71,344,70,73,15.226497531674536
50,Palhinha CDM CM,27,76,72,68,2,376,81,409,81,66,17.576710673657836
51,E. Haaland ST,22,80,66,93,5,386,94,442,82,96,19.0358663830426
52,F. Wirtz CAM,20,87,84,76,3,337,75,346,89,79,18.430631074805532
53,Pedro Porro RB RWB,23,81,80,73,2,379,83,400,83,68,17.466168799258014
54,D. Undav ST CAM,26,75,72,79,1,320,79,380,78,81,16.25785759333348
55,D. Núñez ST LW,24,78,72,81,3,367,85,427,77,81,17.654962870557586
56,Sávio LM CF LW,19,80,74,70,1,283,67,311,79,75,17.23323724157764
57,H. Son LW ST,30,85,81,88,4,347,88,407,83,90,18.159315979817958
58,Kim Min Jae CB,26,64,57,33,2,304,51,337,68,23,17.64415195445337
60,M. Fellaini ST CAM CDM,35,68,69,71,3,374,76,386,77,71,14.077874822431765
61,M. van de Ven CB,22,69,60,43,1,290,48,344,73,37,17.312018119430753
62,Richarlison ST LW,26,82,72,79,3,362,83,396,82,81,17.14771506813948
63,R. Drăgușin CB,21,58,47,37,1,249,56,321,59,27,15.27412558066379
64,C. Uzun CF CAM ST,17,72,62,65,1,245,66,306,72,66,14.77102200299171
65,J. Branthwaite CB,21,55,49,34,1,236,51,307,64,30,16.300417207752275
66,L. Bergvall CM,17,69,65,52,1,292,51,281,70,53,14.28551418721001
67,K. Mainoo CDM CM,18,69,62,55,1,305,64,324,64,55,14.808762330974558
68,J. Bellingham CAM CM,20,86,81,82,4,404,79,407,86,86,18.59042351853946
69,Bryan Zaragoza RM LM,21,79,68,72,1,272,78,296,78,72,15.761420707019587
70,D. Udogie LB,20,78,72,64,1,343,71,371,78,64,17.312018119430753
71,Vitor Roque ST RW LW,18,80,59,78,1,255,80,377,77,79,16.67771143889374
72,K. Havertz CAM CM ST,24,83,79,79,3,327,76,382,85,81,17.64415195445337
73,S. Azmoun ST CAM,28,77,71,75,2,318,77,379,80,75,16.489659207390805
74,D. Suárez RB RWB RM,35,73,72,70,1,358,83,378,74,64,14.978661367769956
75,J. Bellingham CM CAM ST,17,69,62,56,1,296,57,315,70,56,14.557447902693651
76,W. Zaïre-Emery CM CDM,17,78,75,67,1,367,75,381,80,65,17.399029496420383
77,T. Kubo RW ST RM,22,83,76,76,3,289,73,349,84,81,17.541203985200926
78,S. Boey RB,22,77,66,55,1,341,70,400,76,44,17.16541464523888
79,J. Hato CB LB,17,71,66,39,1,294,53,304,74,36,15.687312734865866
80,R. Lewis RB CDM,18,77,73,46,1,323,55,278,80,44,16.34123920227253
81,M. Taremi ST CF,30,81,76,81,2,323,81,395,85,84,17.216707939626428
82,G. Vicario GK,26,87,79,81,2,145,59,227,44,6,17.565014633894645
83,A. Güler CAM CM,18,81,80,70,1,316,72,308,81,68,16.90655301132259
84,C. Bradley RB RWB,19,66,60,50,1,304,50,304,65,53,14.978661367769956
85,Vinícius ST,28,72,61,76,2,335,83,383,76,77,15.60727002719233
86,R. Højlund ST,20,74,58,76,1,322,82,403,75,78,17.054189010128656
87,António Silva CB,19,69,62,33,2,287,51,317,73,28,17.16541464523888
88,Arnau Martínez RB CB RWB,20,76,72,50,1,321,56,327,78,50,17.23323724157764
89,J. Zirkzee ST,22,80,66,77,1,284,76,378,82,78,16.34123920227253
90,T. Almada CAM CM CF,22,84,75,74,3,354,75,337,84,72,17.676240269004868
91,João Neves CM,18,75,71,59,1,336,71,288,77,53,15.761420707019587
92,Fresneda RWB RB,18,74,60,41,2,279,43,295,77,43,15.424948470398375
93,T. Baldanzi CAM CF,20,81,74,72,1,302,77,311,80,69,16.951004773893423
94,V. Barco LM LB LWB,18,77,73,47,1,347,44,273,75,42,15.761420707019587
95,M. Tel ST LM RM,18,77,64,77,1,277,84,354,77,78,16.11809565095832
96,X. Simons CAM LW RW,20,85,78,77,2,361,78,380,85,78,17.91815392300107
97,A. Vermeeren CDM CM,18,76,75,54,1,336,64,345,78,48,16.523560759066484
98,S. Pafundi CAM CF,17,73,66,65,1,311,73,286,71,61,14.73180128983843
99,V. Boniface ST,22,79,64,80,1,336,86,412,81,79,17.341871082580436
100,Alejandro Garnacho LW LM,19,77,67,71,1,304,77,322,74,72,16.41820024340866
101,C. Alcaraz CAM CM ST,20,78,67,70,1,323,75,354,75,70,15.687312734865866
102,M. Greenwood RM ST LM,21,79,74,79,1,303,85,360,80,79,16.972510979114386
103,J. Álvarez ST CF CAM,23,84,78,83,2,366,86,402,85,83,17.529082624668582
104,Gabri Veiga CM CAM,21,78,72,77,2,339,77,362,82,80,17.26549810379586
105,K. Kvaratskhelia LW RW,22,87,81,79,2,337,78,388,88,81,18.50685844019342
106,R. Bardghji RW,17,74,62,68,1,280,70,298,71,70,15.096444403426338
107,A. Jahanbakhsh RW,29,74,69,75,1,331,83,397,74,69,14.914122846632385
108,Y. Chermiti ST,19,68,55,69,1,280,71,344,70,73,15.226497531674536
109,Lee Kang In LW ST CM,22,82,80,74,2,353,78,350,82,75,17.16541464523888
110,Palhinha CDM CM,27,76,72,68,2,376,81,409,81,66,17.576710673657836
111,F. Wirtz CAM,20,87,84,76,3,337,75,346,89,79,18.430631074805532
112,E. Haaland ST,22,80,66,93,5,386,94,442,82,96,19.0358663830426
113,Pedro Porro RB RWB,23,81,80,73,2,379,83,400,83,68,17.466168799258014
114,D. Undav ST CAM,26,75,72,79,1,320,79,380,78,81,16.25785759333348
115,E. Ferguson ST,18,70,62,74,1,287,73,366,73,79,16.11809565095832
116,D. Núñez ST LW,24,78,72,81,3,367,85,427,77,81,17.654962870557586
117,Sávio LM CF LW,19,80,74,70,1,283,67,311,79,75,17.23323724157764
118,H. Son LW ST,30,85,81,88,4,347,88,407,83,90,18.159315979817958
119,Kim Min Jae CB,26,64,57,33,2,304,51,337,68,23,17.64415195445337
120,L. Messi CF CAM,36,94,90,87,5,342,83,382,93,89,17.529082624668582
121,H. Son LW ST,30,85,81,88,4,347,88,407,83,90,18.159315979817958
122,J. Maddison CAM CM,26,86,86,81,2,361,83,355,88,80,17.96655046386292
123,M. Olise RM RW CAM,21,83,78,72,1,334,74,311,82,74,17.14771506813948
124,K. Adeyemi LM RM ST,21,81,71,76,2,309,76,383,80,79,17.576710673657836
125,A. Onana CDM CM,21,71,69,59,1,328,72,366,74,57,16.213405830762646
126,J. Sancho LW LM,23,87,80,70,3,296,63,272,86,76,17.4264284706085
127,J. Musiala CAM CM LM,20,91,76,75,3,342,73,344,89,79,18.717074757006166
128,K. Mbappé ST LW,24,92,80,90,5,362,90,426,92,94,19.01676621166918
129,E. Camavinga CDM CM LB,20,82,80,66,3,370,73,387,86,62,17.84975119611667
130,Gonçalo Ramos ST,22,77,65,78,1,333,83,407,78,82,17.576710673657836
131,F. Parisi LB,22,77,70,67,1,326,78,378,76,60,16.929025867174648
132,L. Yoro CB,17,60,57,40,1,278,51,307,66,38,16.213405830762646
133,K. Mitoma LM,26,86,75,74,3,336,69,347,85,80,17.23323724157764
134,B. El Khannouss CAM CM,19,80,74,60,1,249,65,291,81,64,15.761420707019587
135,B. Šeško ST,20,74,61,75,1,291,79,395,76,77,16.61887093887081
136,N. Mbamba CDM CB,18,65,54,34,1,258,53,315,66,20,14.346138809026444
137,G. Ilenikhena ST,16,68,53,70,1,230,71,339,67,73,14.914122846632385
138,L. Miley CM CDM CAM,17,72,67,61,1,282,67,326,72,61,14.914122846632385
139,S. Giménez ST,22,77,70,81,2,371,83,400,78,83,17.312018119430753
140,M. Mudryk LW LM,22,79,69,67,1,286,74,320,79,66,16.64872390202049
141,C. Palmer RM CAM RW,21,75,71,69,1,314,69,313,77,72,16.06680235657077
142,G. Scalvini CB,19,55,54,35,1,274,57,303,67,23,16.25785759333348
143,C. Echeverri CAM,17,75,59,58,1,250,64,261,69,54,14.648419680899378
144,V. Osimhen ST,24,83,66,86,3,337,86,424,86,91,18.65575286613185
145,B. Johnson RW ST,22,77,67,74,1,279,74,342,74,77,16.523560759066484
146,Beto ST,25,74,58,78,1,303,82,414,77,81,17.111347423968603
147,A. Nusa LM LW RM,18,79,64,63,1,272,72,319,78,61,15.38412647587812
148,Balde LB RB LM,19,78,73,48,2,298,53,309,80,51,17.785802471516394
149,G. Restes GK,18,77,75,71,1,94,56,219,17,9,15.955576721460545
150,Cristiano Ronaldo ST,38,80,77,88,5,349,92,426,86,87,16.951004773893423
151,N. Barella CM,26,85,82,78,3,406,77,396,87,78,18.240357189821083
152,C. Romero CB,25,66,59,46,3,305,51,327,68,48,17.633222883921178
153,K. Itakura CB CDM,26,70,59,45,2,301,67,343,70,41,16.300417207752275
154,M. O'Riley CM CDM CAM,22,75,77,77,1,364,80,381,79,77,16.972510979114386
155,Rafael Leão LW CF LM,24,87,75,80,2,306,80,396,87,84,18.44537335654274
156,J. Bakayoko RW,20,81,69,69,1,259,68,348,81,72,17.24949776244942
157,F. Miretti CM CAM,19,78,75,60,1,351,66,348,79,52,16.41820024340866
158,M. Grüll LM,24,74,65,70,1,250,74,378,74,70,14.914122846632385
159,T. Livramento RB LB,20,76,68,50,1,320,60,318,76,47,16.556350581889475
160,R. Lavia CDM,19,75,66,42,1,299,59,322,75,36,15.761420707019587
161,M. Ødegaard CAM CM,24,87,88,81,4,365,82,368,89,82,18.50685844019342
162,Vini Jr. LW ST,22,90,78,82,5,317,76,378,90,89,18.88126515128161
163,F. Valverde CM RW,24,84,84,82,3,395,89,425,88,79,18.686883784727023
164,Yeremy Pino LM LW RM,20,79,76,73,2,286,68,291,80,79,17.466168799258014
165,J. Spileers CB,18,57,58,31,1,257,49,290,63,26,15.068273526459642
166,Bryan Gil LW LM,22,81,74,67,1,283,64,250,78,73,16.64872390202049
167,J. Duranville LM ST RM,17,75,58,60,1,217,64,283,70,61,14.808762330974558
168,S. Iling-Junior LM,19,75,69,60,1,257,67,313,76,54,15.29711509888849
169,T. Alexander-Arnold RB,24,79,90,71,3,376,84,392,84,64,18.209959712636714
170,D. Szoboszlai CAM CM,22,82,84,82,2,351,89,398,83,77,17.665658159674333
171,V. Gyökeres ST,25,76,64,76,1,324,77,410,76,79,16.556350581889475
172,J. Garner CDM CM RM,22,70,76,64,1,341,74,351,75,59,16.300417207752275
173,D. Kulusevski RW RM CAM,23,84,81,77,2,349,76,397,85,76,17.588271496058912
174,R. Araujo CB RB,24,62,65,53,3,330,68,354,68,56,18.34811005111753
175,M. Kerkez LB,19,73,66,53,1,324,55,329,71,53,16.25785759333348
176,O. Diomande CB,19,70,52,26,1,245,40,292,72,20,16.523560759066484
177,S. Aurier RB RWB,30,74,74,62,2,364,76,353,78,58,16.300417207752275
178,I. Toney ST,27,75,71,82,1,387,83,404,78,85,17.014183675514957
179,Y. Moukoko ST,18,80,59,75,2,281,78,360,81,79,16.929025867174648
180,K. Thuram CM CDM,22,78,77,72,2,363,74,393,80,75,17.111347423968603
181,S. Aurier RB RWB,30,74,74,62,2,364,76,353,78,58,16.300417207752275
182,W. Weghorst ST,30,68,61,76,2,362,84,413,80,75,16.166885815127753
183,T. Alexander-Arnold RB,24,79,90,71,3,376,84,392,84,64,18.209959712636714
184,M. Rashford LW RW ST,25,82,77,83,3,326,93,388,82,81,17.588271496058912
185,T. Tomiyasu RB LB,24,71,67,33,1,314,42,311,74,29,16.811242831518264
186,Florentino CDM CM,23,73,67,47,1,337,65,353,74,35,17.182806387950748
187,G. Rutter ST,21,79,66,70,1,266,73,377,79,70,16.06680235657077
188,M. Thiaw CB,21,65,61,47,1,315,56,330,68,43,16.90655301132259
189,Gavi CM LW,18,85,78,66,3,379,56,330,85,71,18.042344303232454
190,Neymar Jr LW CAM,31,93,85,82,5,361,79,361,94,83,18.26402693390699
191,Pepelu CDM CM,24,73,80,64,1,380,72,370,80,58,17.182806387950748
192,W. Saliba CB,22,73,69,39,2,317,60,330,81,35,17.884537312202085
193,P. Hincapié CB,21,72,64,40,2,298,50,320,73,40,17.312018119430753
194,Nico Williams LM RM,20,86,75,74,2,313,78,366,85,75,17.676240269004868
195,Gonçalo Inácio CB,21,65,62,36,1,315,67,331,73,23,17.312018119430753
196,R. Calafiori CB LB,21,69,60,48,1,296,72,380,74,28,15.687312734865866
197,B. Verbruggen GK,20,80,73,71,1,99,55,232,18,8,16.166885815127753
198,C. Chukwuemeka CM CAM LW,19,71,64,59,1,300,56,273,72,66,14.403297222866392
199,A. Gray CDM RB CM,17,71,65,60,1,309,62,320,72,59,14.690979295318174
200,P. Brunner ST LM,17,66,51,66,1,241,62,311,64,72,14.648419680899378
201,Carlos Forbs RW LW,19,73,62,68,1,299,66,315,67,72,15.520258650202699
202,T. Werner ST,27,79,69,79,3,327,85,391,78,77,17.014183675514957
203,Z. Suzuki GK,20,70,71,59,1,89,53,234,11,6,14.28551418721001
204,P. Sarr CM CDM,20,77,72,64,1,340,69,358,77,63,16.523560759066484
205,A. Pavlovic CDM CM,19,62,64,46,1,266,59,264,67,39,14.077874822431765
206,M. Ugarte CDM CM,22,77,73,64,1,383,62,361,77,65,17.41282281855272
207,M. Caicedo CDM CM,21,76,71,63,2,342,72,367,82,58,17.073607095985757
208,Yan Couto RM RB RWB,21,78,72,62,1,327,65,326,78,65,16.64872390202049
209,J. Bynoe-Gittens LM,18,81,62,66,1,249,65,297,79,73,16.11809565095832
210,N. Irankunda RM LM,17,66,57,67,1,280,87,357,61,63,14.403297222866392
211,Stefan Bajcetic CDM CM,18,72,66,52,1,307,56,309,75,50,15.424948470398375
212,H. Kane ST,29,83,84,93,5,395,93,434,87,95,18.59882692933584
213,J. Dilrosun RW LW CAM,25,77,66,63,1,262,72,298,75,67,14.946912669455374
214,I. Bennacer CDM CM CAM,25,86,81,72,2,393,85,393,85,67,17.84975119611667
215,A. Isak ST LW,23,85,72,81,2,340,81,394,86,84,17.599700191882537
216,A. Bastoni CB,24,73,72,35,2,325,49,336,76,26,18.112795964183064
217,A. Tchouaméni CDM CM CB,23,78,79,69,3,375,78,401,81,65,17.884537312202085
218,O. Kossounou CB,22,67,64,32,1,287,52,315,69,26,17.312018119430753
219,B. Brobbey ST,21,71,56,73,1,296,79,397,76,76,16.99356438831222
220,J. Frimpong RWB RM,22,85,76,60,2,355,58,331,83,66,17.858561825798823
221,P. Foden LW RW CAM,23,89,83,80,3,356,85,358,91,81,18.44537335654274
222,L. Geertruida RB CB,22,76,70,54,2,328,49,339,78,63,17.034386382832476
223,D. Spence RB RWB,22,74,61,43,1,263,54,307,72,38,15.687312734865866
224,Rodrygo RW LW ST,22,86,79,81,3,320,76,367,86,86,18.275654971902107
225,A. Hložek ST CAM,20,77,73,77,1,313,80,405,79,78,16.972510979114386
226,B. Saka RW RM,21,88,80,82,2,378,79,380,88,84,18.410630408098864
227,N. Schlotterbeck CB,23,72,66,59,3,329,75,389,70,51,17.49181122987135
228,K. Koné CM,22,82,74,71,2,345,80,382,82,71,16.972510979114386
229,Evanilson ST,23,76,63,76,1,281,75,386,78,80,16.929025867174648
230,Luiz Henrique RM LM,22,81,69,70,1,308,79,353,83,71,16.972510979114386
231,F. Terracciano RB RM LB,20,71,71,60,1,308,69,354,71,56,15.404745763080856
232,Bruno Guimarães CM CDM,25,84,81,74,2,395,79,398,85,72,17.831893578716663
233,M. Carnesecchi GK,23,84,72,76,1,120,54,204,21,8,17.327055996795295
234,N. Madueke RM RW,21,82,68,71,1,278,73,341,81,72,16.64872390202049
235,M. Baturina CM CAM RW,20,81,75,67,1,325,74,346,82,62,16.11809565095832
236,Javi Guerra CM CAM CDM,20,71,70,70,1,337,70,352,76,72,15.687312734865866
237,B. Doak RW,17,71,51,52,1,247,58,258,67,56,14.403297222866392
238,E. Nuamah RW ST RM,19,79,61,66,1,242,72,330,77,69,15.761420707019587
239,G. Prestianni RM CAM RW,17,76,57,60,1,288,62,264,72,61,14.914122846632385
240,K. Benzema CF ST,35,87,83,88,5,364,87,417,91,91,17.7473361906886
241,Adama Traoré RM RW,27,82,64,63,1,286,78,380,78,61,15.60727002719233
242,Borja Iglesias ST,30,76,66,84,2,353,85,413,82,86,17.385043254445645
243,R. Bentancur CM CDM,26,83,81,67,2,382,69,361,85,66,17.49181122987135
244,P. Foden LW RW CAM,23,89,83,80,3,356,85,358,91,81,18.44537335654274
245,J. Koundé CB RB,24,75,68,45,3,316,48,336,77,47,18.05683731053502
246,J. Doku RW RM LW,21,84,69,68,3,274,74,335,79,72,17.26549810379586
247,D. Vlahović ST,23,79,66,85,2,326,84,424,85,88,17.831893578716663
248,J. Kimmich CDM RB CM,28,83,88,74,4,405,78,400,84,68,18.159315979817958
249,Aleix García CM CDM,26,82,84,76,2,368,77,359,84,77,17.610999747136468
250,A. Lookman ST RM RW,25,86,71,81,1,318,79,370,85,86,17.312018119430753
251,D. Rice CDM CM,24,77,75,65,3,377,78,392,79,61,17.958645284355807
252,F. Kadıoğlu LB RB,23,83,72,64,1,331,69,362,79,61,16.811242831518264
253,M. Kudus RM CAM ST,22,85,71,75,3,344,79,381,84,76,17.341871082580436
254,W. Gnonto LM RM ST,19,78,63,70,1,285,74,351,76,70,15.687312734865866
255,N. Jackson ST,22,77,63,78,1,284,78,385,76,81,16.883563493097892
256,E. Zeballos RM RW LW,21,78,66,63,1,271,69,296,74,60,15.761420707019587
257,Javi Guerra CM CAM CDM,20,71,70,70,1,337,70,352,76,72,15.687312734865866
258,A. Veliz ST,19,70,54,74,1,290,76,365,75,79,16.300417207752275
259,O. Gloukh CAM,19,81,70,70,1,280,71,306,80,71,16.11809565095832
260,P. Dorgu LB,18,67,54,50,1,271,51,262,64,52,14.346138809026444
261,K. De Bruyne CM CAM,32,87,94,88,5,407,92,418,92,85,18.45023954619391
262,A. Griezmann ST,32,88,87,88,5,390,85,412,89,90,18.119575651168443
263,João Cancelo RB LB RM,29,84,85,73,3,375,80,389,86,69,17.901486870515857
264,F. Tomori CB,25,66,59,40,2,280,56,351,66,33,17.776323727561852
265,F. Neuhaus CM,26,78,76,71,2,331,75,363,78,71,16.41820024340866
266,D. Muñoz RB,27,75,70,65,1,358,67,364,75,69,16.523560759066484
267,O. Kökçü CM CAM,22,80,83,76,2,398,78,389,85,72,17.599700191882537
268,L. Openda ST,23,81,68,81,2,329,82,408,81,85,17.72753356339242
269,G. Bazunu GK,21,74,73,68,1,108,55,182,20,5,15.03928598958639
270,I. Maatsen LB LWB,21,75,68,58,1,319,65,322,73,56,16.012735135300492
271,J. Timber CB RB,22,77,67,47,3,326,58,352,78,41,17.312018119430753
272,S. Botman CB,23,66,63,37,2,309,65,346,74,24,17.665658159674333
273,Miguel Gutiérrez LB LM,21,77,74,57,1,316,65,334,79,57,16.835935444108635
274,D. Doué CAM RW,18,76,65,66,1,245,72,309,76,67,15.29711509888849
275,A. Ouédraogo CAM CM,17,72,59,52,1,264,58,310,72,53,14.403297222866392
276,S. Guirassy ST,27,77,67,82,2,336,82,396,80,84,16.951004773893423
277,S. Benrahma LM CAM,27,82,75,75,2,321,85,345,81,72,16.523560759066484
279,L. Sané RM LM,27,87,81,82,3,327,86,386,86,83,18.099097119824904
280,G. Kobel GK,25,89,73,84,3,119,55,247,34,10,18.21611357821109
281,Ferran Torres LW RW ST,23,83,78,79,3,327,79,381,83,81,17.686711568872166
282,M. Diaby RW ST CF,23,86,75,73,3,314,74,320,85,80,17.91815392300107
283,H. Morita CM CDM,28,76,76,69,1,358,69,369,77,74,16.67771143889374
285,Zubimendi CDM CM,24,75,74,65,1,353,61,348,79,67,17.182806387950748
286,Gabriel Martinelli LW LM,22,86,76,78,2,342,77,377,84,83,17.934547732776746
287,Nuno Mendes LB LWB,21,80,75,58,2,345,80,381,80,45,17.588271496058912
288,S. Ricci CDM CM,21,75,71,55,1,336,70,354,78,42,16.588099280204055
289,I. Ilić CM CF CDM,22,78,77,72,1,345,81,372,82,69,16.972510979114386
290,C. Lukeba CB,20,72,67,43,2,303,55,330,74,41,17.073607095985757
291,L. Colwill LB CB,20,69,66,34,1,293,45,314,71,26,16.300417207752275
292,A. Zakharyan LW RW CAM,20,74,77,70,1,317,74,339,77,68,16.34123920227253
293,A. Fatawu RW LW,19,77,70,72,1,282,81,347,75,69,15.761420707019587
294,H. Larsson CM CDM,19,73,66,62,1,331,67,359,75,60,15.761420707019587
295,E. Ben Seghir CF ST,18,75,63,73,1,276,74,328,75,73,15.520258650202699
296,L. Miller CM,16,61,60,52,1,261,59,291,63,52,13.790192749979985
297,Deivid Washington ST LW,18,69,52,67,1,245,62,315,74,73,14.77102200299171
298,Q. Hartman LB,21,70,73,46,1,336,40,322,72,45,16.489659207390805
299,B. Gruda CF RM,19,76,60,67,1,258,80,322,72,61,14.946912669455374
300,Brahim CAM RW,23,83,77,71,1,290,71,313,84,73,17.281246460764002
302,F. Chiesa LM ST RM,25,86,76,82,3,350,86,400,82,81,17.73748389424559
303,I. Konaté CB,24,68,57,34,2,292,45,315,71,29,17.4264284706085
304,N. Zaniolo RM CF ST,23,80,75,78,2,367,84,397,84,78,17.1296965626368
305,Marc Cucurella LB CB RB,24,79,77,64,2,363,73,362,80,60,16.972510979114386
306,A. Gomes CM CDM CAM,22,79,74,70,1,352,70,359,78,71,16.523560759066484
307,João Félix CF ST LW,23,85,78,79,3,337,80,375,84,78,17.529082624668582
309,S. Chukwueze RW RM,24,84,74,75,1,289,79,359,82,77,17.47907220409392
310,H. Elliott CAM CM RW,20,81,75,65,1,323,65,300,79,64,16.951004773893423
311,L. Romero RW,18,74,65,61,1,323,72,296,72,58,14.978661367769956
312,A. Wharton CDM CM,19,73,72,58,1,329,65,331,72,55,15.150511624696614
313,R. Sterling LM RM ST,28,85,76,78,4,325,78,369,81,79,17.41282281855272
314,V. van Dijk CB,31,72,71,60,4,347,81,399,76,52,18.071123267782497
315,Joelinton CM LW,26,82,76,72,2,396,84,413,85,74,17.385043254445645
316,Gabriel Jesus ST RW,26,88,75,80,2,354,84,404,87,80,17.588271496058912
317,A. Davies LB LM,22,84,77,66,3,367,74,379,84,64,17.7667542765457
318,M. de Ligt CB,23,68,64,61,3,296,84,413,73,50,18.05683731053502
319,J. Tanganga RB CB RWB,24,70,63,33,1,312,52,291,69,28,15.60727002719233
320,T. Koopmeiners CM CDM CAM,25,76,81,75,2,392,79,397,81,70,17.341871082580436
321,Pedro Gonçalves LW RW CM,25,84,81,82,1,386,78,360,84,84,17.516812532076766
322,M. Guéhi CB,22,70,60,39,2,279,49,305,74,42,17.09265529095645
323,Sergio Gómez LB,22,77,75,70,1,368,72,338,75,67,16.012735135300492
324,Sancet CAM CM ST,23,83,77,77,1,374,79,399,83,77,17.516812532076766
325,J. Todibo CB,23,69,64,47,2,308,60,349,72,44,17.182806387950748
326,A. Velasco LM LW CAM,20,80,71,68,1,312,73,340,75,67,16.34123920227253
327,Ansu Fati LM ST CAM,20,81,72,76,3,292,74,330,79,80,17.24949776244942
328,N. Rovella CM CDM,21,77,76,63,1,359,72,368,80,52,16.972510979114386
329,Antony RW RM,23,85,73,71,3,352,73,364,86,70,17.09265529095645
330,W. Pacho CB,21,60,57,32,1,270,41,312,67,30,16.811242831518264
331,A. Broja ST,21,75,54,74,1,295,80,371,76,77,16.34123920227253
332,A. Zaroury LM ST,22,76,68,68,1,269,73,340,75,69,16.06680235657077
333,A. Schjelderup LW LM CAM,19,77,65,67,1,290,64,296,74,71,15.520258650202699
334,J. Kiwior CB CDM,23,61,59,37,1,308,62,327,63,29,15.955576721460545
335,H. Larsson CM CDM,19,73,66,62,1,331,67,359,75,60,15.761420707019587
